,Altura,Año,Nombre,Peso,Yardas_totales
9,188.976,1937,"Banet, Herb", 200,29
10,180.0,2007,"Banks, Alvin", 226,0
11,188.976,1986,"Banks, Chuck", 225,325
12,192.024,1967,"Banks, Estes", 215,157
13,177.5,1998,"Banks, Tavian", 208,222
14,195.072,1973,"Bankston, Warren", 235,684
15,192.024,2011,"Bannon, Shane", 245,0
16,180.0,1945,"Banta, Jack", 191,847
17,177.5,2001,"Barber, Tiki", 205,"10,449"
18,185.928,1998,"Barber, Kantroy", 245,0
19,192.024,1985,"Barber, Marion", 224,317
20,180.0,2008,"Barber, Marion", 218,"4,780"
21,180.0,1937,"Barber, Mark", 192,35
22,177.5,2007,"Barclay, Chris", 180,3
23,185.928,2004,"Barlow, Kevan", 234,"3,984"
24,180.0,1961,"Barnes, Billy", 201,"3,421"
25,188.976,2005,"Barnes, Darian", 240,10
26,185.928,1959,"Barnes, Larry", 228,78
27,180.0,1978,"Barnes, Larry", 220,156
28,175.0,2000,"Barnes, Marlon", 215,81
29,180.0,1959,"Barnett, Tom", 190,263
30,,1926,"Barnikow, Eddie", 1  ,0
31,182.88,1940,"Barnum, Len", 200,15
32,177.5,1926,"Barnum, Pete", 195,0
33,182.88,1961,"Barr, Terry", 189,"3,810"
34,172.5,1925,"Barr, Shorty", 201,0
35,182.88,1982,"Barrett, Dave", 230,0
36,185.928,1968,"Barrington, Tom", 213,530
37,182.88,1952,"Barry, Paul", 208,604
38,,1920,"Barsha, Johnny",ny B,0
39,175.0,1987,"Bartalo, Steve", 200,30
40,188.976,2013,"Bartholomew, Ben", 252,0
41,180.0,1941,"Bartholomew, Sam", 188,69
42,182.88,2011,"Bartlett, Bubba", 237,0
43,182.88,1939,"Bartlett, Earl", 200,0
44,180.0,1953,"Barton, Don", 175,40
45,188.976,1950,"Bartos, Joe", 194,36
46,172.5,1941,"Basca, Nick", 170,44
47,175.0,1925,"Basing, Myrt", 190,0
48,185.928,1999,"Basnight, Michael", 235,308
49,188.976,1965,"Bass, Glenn", 205,"2,841"
50,177.5,1964,"Bass, Dick", 200,"5,417"
51,177.5,1947,"Bass, Bill", 180,0
52,185.928,1955,"Bassett, Mo", 230,891
53,180.0,1936,"Bassman, Reds", 180,19
54,177.5,2012,"Batch, Baron", 210,49
55,188.976,1997,"Bates, Mario", 239,"3,048"
56,177.5,2001,"Bates, Michael", 215,158
57,188.976,1964,"Batten, Pat", 225,0
58,188.976,2011,"Battle, Jackie", 240,"1,177"
59,180.0,1997,"Battle, Terry", 197,0
60,180.0,1980,"Batton, Bobby", 190,4
61,177.5,1979,"Bauer, Hank", 200,377
62,177.5,2014,"Bauman, Zach", 200,0
63,185.928,1948,"Baumgardner, Joe Billy", 198,0
64,185.928,1933,"Bausch, Jim", 208,70
65,185.928,1992,"Baxter, Brad", 235,"2,928"
66,185.928,2004,"Baxter, Jarrod", 243,15
67,182.88,2007,"Baylark, Steve", 225,0
68,182.88,1989,"Bayless, Rick", 202,0
69,185.928,1969,"Baynham, Craig", 203,553
70,177.5,2007,"Beach, Arliss", 219,0
71,182.88,1963,"Beach, Walter", 190,0.0
72,180.0,1978,"Bean, Bubba", 195,"1,528"
73,182.88,2002,"Beasley, Fred", 246,610
74,185.928,1968,"Beban, Gary", 195,0
0,180.0,1923,"Beck, Carl", 180,0
1,175.0,1923,"Beck, Marty", 175,0
2,172.5,1987,"Beecham, Earl", 180,22
3,185.928,1995,"Beer, Tom", 237,0.0
4,175.0,1941,"Belichick, Steve", 190,118
5,188.976,2012,"Bell, Cameron", 252,0
6,175.0,1977,"Bell, Gordon", 180,319
7,177.5,1987,"Bell, Greg", 210,"4,959"
8,188.976,1992,"Bell, Nick", 250,853
9,177.5,1960,"Bell, Henry", 210,238
10,180.0,2013,"Bell, Joique", 231,"2,241"
11,180.0,2011,"Bell, Kahlil", 219,633
12,177.5,1988,"Bell, Ken", 190,96
13,182.88,2008,"Bell, Mike", 225,"1,475"
14,182.88,1990,"Bell, Richard", 200,18
15,182.88,1983,"Bell, Ricky", 205,0
16,188.976,1979,"Bell, Ricky", 220,"3,063"
17,180.0,2006,"Bell, Tatum", 213,"2,773"
18,180.0,1995,"Bell, William", 214,13
19,175.0,1966,"Bellino, Joe", 185,64
20,172.5,1979,"Belton, Horace", 200,486
21,182.88,2006,"Belton, Thump", 232,0
22,180.0,1973,"Belton, Willie", 207,306
23,172.5,1996,"Bender, Carey", 185,0
24,177.5,1995,"Bender, Wes", 230,9
25,192.024,1978,"Benjamin, Tony", 225,68
26,170.0,1993,"Benjamin, Ryan", 183,5
27,180.0,2000,"Bennett, Brandon", 220,"1,144"
28,182.88,1998,"Bennett, Donnell", 246,"1,941"
29,175.0,2012,"Bennett, Duane", 213,0
30,182.88,1996,"Bennett, Edgar", 218,"3,992"
31,175.0,2006,"Bennett, Michael", 205,"3,703"
32,185.928,2001,"Bennett, Sean", 230,126
33,188.976,1983,"Bennett, Woody", 227,"1,761"
34,180.0,2009,"Benson, Cedric", 227,"6,017"
35,185.928,1947,"Benson, George", 205,0
36,180.0,1989,"Bentley, Albert", 207,"2,355"
37,182.88,2016,"Bergen, Sam", 250,0
38,180.0,1987,"Bernard, Karl", 205,187
39,175.0,2008,"Bernard, Yvenson", 204,0
40,175.0,1957,"Bernardi, Frank", 181,0.0
41,188.976,1981,"Berns, Rick", 205,255
42,182.88,1923,"Bernstein, Joe", 210,0
43,185.928,2006,"Bernstein, Matt", 265,0
44,192.024,1991,"Bernstine, Rod", 238,"2,990"
45,180.0,1953,"Berry, Rex", 190,0.0
46,177.5,2012,"Berry, Damien", 223,0
47,,1967,"Berry, Dan",Berr,0
48,177.5,1992,"Berry, Latin", 196,0
49,182.88,1954,"Berry, Wayne", 175,30
50,180.0,1974,"Bertelsen, Jim", 205,"2,466"
51,175.0,1926,"Bertoglio, Jim", 187,0
52,188.976,1956,"Berzinski, Will", 195,72
53,185.928,1979,"Best, Art", 205,31
54,177.5,2011,"Best, Jahvid", 199,945
55,182.88,1977,"Betterson, James", 210,265
56,180.0,1999,"Bettis, Jerome", 255,"13,662"
57,177.5,1937,"Bettridge, John", 188,35
58,180.0,2006,"Betts, Ladell", 224,"3,326"
59,180.0,1987,"Beverly, Dwight", 205,217
60,182.88,1998,"Biakabutuka, Tim", 215,"2,530"
61,172.5,1987,"Bianchini, Frank", 190,0
62,182.88,2003,"Bickerstaff, Erik", 230,56
63,185.928,1959,"Bielski, Dick", 224,"1,305"
64,170.0,1995,"Bieniemy, Eric", 205,"1,589"
65,182.88,1956,"Bingham, Don", 185,36
66,177.5,1942,"Binotto, John", 185,47
67,177.5,2008,"Birmingham, DeCori", 210,0
68,188.976,1962,"Bishop, Don", 209,0.0
69,185.928,1964,"Bivins, Charlie", 212,498
70,180.0,1929,"Bizer, Herb", 205,0
71,185.928,1973,"Bjorklund, Hank", 200,171
72,180.0,1984,"Black, James", 198,0
73,180.0,1946,"Black, Blondy", 195,0
74,180.0,1930,"Blackman, Stub", 195,0
0,177.5,1978,"Blackwell, Alois", 195,37
1,185.928,1945,"Blackwell, Hal", 205,0
2,180.0,1998,"Blair, Michael", 245,7
3,188.976,1991,"Blake, Ricky", 235,80
4,185.928,1967,"Blanks, Sid", 200,"1,440"
5,172.5,2004,"Blaylock, Derrick", 208,820
6,180.0,1981,"Bledsoe, Curtis", 215,85
7,180.0,1946,"Bleeker, Mel", 189,586
8,180.0,1974,"Bleier, Rocky", 210,"3,865"
9,180.0,1986,"Bligen, Dennis", 215,300
10,175.0,1987,"Blount, Alvin", 197,125
11,185.928,1946,"Blount, Lamar", 190,0
12,180.0,1947,"Blumenstock, Jim", 190,168
13,185.928,1968,"Blye, Ronnie", 202,268
14,182.88,1986,"Boatner, Mack", 220,0
15,180.0,1986,"Boddie, Tony", 195,9
16,,1921,"Bodie, Ping", Bod,0
17,180.0,1948,"Boedeker, Bill", 192,16
18,177.5,1926,"Boettcher, Champ", 193,0
19,182.88,1930,"Bogue, George", 210,0
20,180.0,1960,"Bohling, Dewey", 190,584
21,172.5,1927,"Bohren, Karl", 180,0
22,180.0,1923,"Bolan, George", 203,0
23,172.5,1958,"Bolden, Leroy", 170,66
24,170.0,1922,"Boldt, Chase", 145,0
25,182.88,2011,"Bolen, Brock", 232,14
26,185.928,1991,"Boles, Tony", 196,0
27,182.88,1999,"Bollers, Trevor", 255,0
28,185.928,1977,"Bolton, Andy", 205,80
29,180.0,1945,"Bonelli, Ernie", 194,100
30,188.976,1974,"Bonner, Glen", 202,319
31,192.024,2016,"Bonnet, Andrew", 245,0
32,177.5,2009,"Booker, Lorenzo", 201,230
33,182.88,1999,"Booker, Marty", 205,"6,703"
34,180.0,1926,"Books, Bob", 190,0
35,175.0,1987,"Boone, Greg", 196,2
36,172.5,1950,"Boone, J.R.", 162,497
37,180.0,1942,"Boone, Jack", 175,-1
38,180.0,1970,"Boozer, Emerson", 195,"5,135"
39,177.5,1930,"Borelli, Nick", 175,0
40,182.88,2014,"Boren, Zach", 255,0
41,185.928,1961,"Bosseler, Don", 212,"3,112"
42,180.0,1996,"Bostic, James", 225,19
43,188.976,1972,"Bouggess, Lee", 210,697
44,185.928,1996,"Bouie, Kevin", 230,26
45,170.0,1922,"Boutwell, Lo", 188,0
46,192.024,1994,"Bowden, Andre", 240,0
47,182.88,2002,"Bowers, R.J.", 250,84
48,182.88,1998,"Bowie, Larry", 249,108
49,182.88,1966,"Bowman, Steve", 195,0
50,188.976,1956,"Bowman, Bill", 215,557
51,188.976,1922,"Bowser, Arda", 210,0
52,195.072,1951,"Box, Cloyce", 220,"2,665"
53,185.928,2011,"Boyce, Dorson", 237,0
54,185.928,2008,"Boyd, Cory", 213,0
55,188.976,1973,"Boyd, Greg", 201,0
56,180.0,1964,"Boyd, Bobby", 195,0.0
57,185.928,1949,"Boyda, Mike", 205,0.0
58,195.072,1987,"Boyer, Mark", 233,"1,534"
59,182.88,1977,"Boykin, Greg", 225,352
60,180.0,2011,"Bradford, Allen", 235,0.0
61,175.0,1987,"Bradley, Danny", 175,0
62,177.5,1996,"Bradley, Freddie", 208,109
63,182.88,2007,"Bradley, Jon", 301,9
64,177.5,2011,"Bradshaw, Ahmad", 217,"4,928"
65,175.0,1954,"Brancato, George", 177,26
66,180.0,2006,"Branch, Jamaal", 230,29
67,180.0,1987,"Branch, Reggie", 232,9
68,,1921,"Brandau, Butch", 192,0
69,185.928,1953,"Brandt, Jim", 205,188
70,185.928,1966,"Brannan, Solomon", 188,0.0
71,185.928,1996,"Bratton, Jason", 252,8
72,185.928,1989,"Bratton, Mel", 225,190
73,188.976,1962,"Braxton, Hez", 227,35
74,185.928,1975,"Braxton, Jim", 243,"2,890"
0,185.928,1954,"Bredde, Bill", 195,57
1,185.928,1937,"Breeden, Bill", 210,25
2,185.928,1986,"Brewer, Chris", 203,83
3,172.5,1994,"Brewer, Dewell", 201,0
4,195.072,1952,"Brewer, John", 230,273
5,182.88,1963,"Brezina, Bobby", 200,0
6,177.5,1929,"Briante, Frank", 185,0
7,177.5,1920,"Brickley, George", 190,0
8,177.5,1921,"Bridgford, Lane", 180,0
9,185.928,1965,"Briggs, Bob", 228,10
10,175.0,1983,"Bright, Leon", 192,204
11,175.0,2011,"Brinkley, Curtis", 208,227
12,182.88,1979,"Brinson, Larry", 214,229
13,188.976,1925,"Bristow, Obie", 210,0
14,188.976,1937,"Britt, Eddie", 205,0.0
15,192.024,1927,"Britton, Earl", 212,0
16,182.88,1942,"Brock, Lou", 195,804
17,185.928,1974,"Brockington, John", 225,"5,185"
18,182.88,1960,"Brodnax, J.W.", 208,18
19,177.5,2014,"Bronson, Demitrius", 210,0
20,182.88,2001,"Brookins, Jason", 235,551
21,177.5,1987,"Brooks, James", 177,"7,962"
22,182.88,2012,"Brooks, Jourdan", 230,0
23,182.88,1992,"Brooks, Tony", 230,0
24,172.5,1995,"Brooks, Reggie", 211,"1,726"
25,182.88,1961,"Brooks, Bob", 215,55
26,182.88,2016,"Brooks, Zac", 200,0
27,175.0,1927,"Bross, Mal", 170,0
28,180.0,2007,"Broughton, Nehemiah", 255,3
29,170.0,1994,"Broussard, Steve", 201,"2,625"
30,182.88,1933,"Brovelli, Angie", 193,0.0
31,185.928,2011,"Brown, Aaron", 200,189
32,182.88,2011,"Brown, Andre", 227,876
33,175.0,1991,"Brown, A.B.", 210,117
34,185.928,2006,"Brown, Ben", 246,0
35,182.88,2014,"Brown, Bryce", 220,"1,076"
36,182.88,2010,"Brown, Carlos", 212,0
37,188.976,1967,"Brown, Charlie", 220,0.0
38,177.5,1967,"Brown, Charlie", 195,16
39,192.024,2006,"Brown, Chris", 235,"3,024"
40,182.88,2007,"Brown, Curtis", 205,0
41,177.5,1980,"Brown, Curtis", 203,"2,171"
42,177.5,2004,"Brown, Dee", 210,405
43,185.928,2004,"Brown, Dante", 215,2
44,180.0,1945,"Brown, Dave", 190,141
45,182.88,2000,"Brown, DeMario", 213,0
46,175.0,1995,"Brown, Derek", 205,"1,383"
47,188.976,2015,"Brown, Dominique", 241,0
48,177.5,2013,"Brown, Donald", 205,"2,829"
49,185.928,1960,"Brown, Don", 205,0
50,180.0,1962,"Brown, Fred", 185,210
51,180.0,1995,"Brown, Gary", 230,"4,300"
52,180.0,1987,"Brown, Gordon", 220,85
53,182.88,1954,"Brown, Hardy", 193,0.0
54,188.976,1992,"Brown, Ivory Lee", 230,194
55,188.976,1961,"Brown, Jim", 232,"12,312"
56,177.5,1972,"Brown, Ken", 203,"1,193"
57,180.0,1973,"Brown, Larry", 195,"5,875"
58,180.0,1995,"Brown, Leon", 199,0
59,172.5,1957,"Brown, Marv", 150,6
60,182.88,1998,"Brown, Reggie", 244,46
61,180.0,1984,"Brown, Reggie", 211,136
62,177.5,2001,"Brown, Ricky", 225,0
63,182.88,2009,"Brown, Ronnie", 223,"5,391"
64,188.976,1981,"Brown, Theotis", 225,"2,046"
65,172.5,2008,"Brown, Thomas", 203,0
66,180.0,1963,"Brown, Timmy", 198,"3,862"
67,177.5,1983,"Brown, Ted", 206,"4,546"
68,185.928,1988,"Brown, Tom", 223,29
69,180.0,1967,"Brown, Bill", 228,"5,838"
70,182.88,1965,"Brown, Willie", 188,110
71,177.5,2012,"Brown, Zach", 220,0
72,185.928,1987,"Browne, Jim", 215,1
73,188.976,1965,"Browning, Charlie", 200,0
74,185.928,1945,"Bruckner, Les", 195,0
0,180.0,1940,"Brumbaugh, Boyd", 195,727
1,185.928,1971,"Brumfield, Jim", 195,0
2,185.928,1972,"Brunet, Bob", 205,406
3,185.928,1970,"Brunson, Mike", 190,9
4,172.5,1924,"Bryan, Johnny", 170,0
5,185.928,1955,"Bryan, Walter", 185,0.0
6,182.88,1968,"Bryant, Charlie", 207,322
7,192.024,2012,"Bryant, James", 257,0
8,188.976,1988,"Bryant, Kelvin", 195,"1,186"
9,185.928,1980,"Bryant, Cullen", 234,"3,264"
10,175.0,1994,"Bryant, Beno", 185,6
11,185.928,2003,"Bryson, Shawn", 230,"2,144"
12,182.88,2005,"Buckhalter, Correll", 223,"2,944"
13,175.0,2009,"Buckley, Eldra", 207,111
14,172.5,1930,"Buckley, Ralph", 175,0
15,182.88,1929,"Bucklin, Ted", 197,0
16,188.976,1940,"Buhler, Larry", 210,121
17,185.928,1937,"Buivid, Ray", 195,4
18,182.88,1940,"Bukant, Joe", 216,426
19,180.0,1961,"Bukaty, Fred", 195,187
20,182.88,1951,"Buksar, George", 206,0.0
21,185.928,1974,"Bulaich, Norm", 218,"3,362"
22,182.88,1966,"Bull, Ronnie", 200,"3,222"
23,185.928,1964,"Bullocks, Amos", 202,620
24,180.0,1950,"Bumgardner, Rex", 193,395
25,188.976,1993,"Bunch, Jarrod", 250,629
26,182.88,1987,"Burke, Joe", 200,0
27,175.0,2016,"Burks, Brandon", 208,-4
28,185.928,2007,"Burks, Dan", 218,0
29,177.5,1956,"Burl, Alex", 165,2
30,180.0,1944,"Burnell, Max", 180,0
31,185.928,1934,"Burnett, Dale", 187,167
32,195.072,1938,"Burnett, Ray", 205,-10
33,192.024,1968,"Burnett, Bobby", 210,871
34,170.0,1995,"Burns, Jason", 195,1
35,175.0,2004,"Burns, Joe", 215,193
36,188.976,1971,"Burns, Leon", 228,292
37,192.024,1974,"Burns, Bob", 212,158
38,182.88,1966,"Burrell, Ode", 190,"1,088"
39,182.88,1987,"Burse, Tony", 220,36
40,185.928,1924,"Burton, Lyle", 195,0
41,177.5,1962,"Burton, Ron", 190,"1,536"
42,175.0,1960,"Burton, Leon", 172,119
43,185.928,2011,"Bush, Michael", 245,"3,250"
44,182.88,2011,"Bush, Reggie", 205,"5,490"
45,192.024,2002,"Bush, Steve", 267,0
46,185.928,1979,"Bussey, Dexter", 195,"5,105"
47,185.928,1940,"Butcher, Wendell", 197,103
48,172.5,1925,"Butler, Sol", 181,0
49,175.0,1969,"Butler, Cannonball", 194,"2,768"
50,180.0,1987,"Butler, Jerry", 193,1
51,177.5,1944,"Butler, Johnny", 185,517
52,185.928,2005,"Butler, Terry", 205,0
53,182.88,1973,"Butler, Bill", 218,655
54,177.5,1961,"Butler, Bill", 189,0.0
55,185.928,1992,"Butts, Marion", 248,"5,185"
56,185.928,1992,"Byars, Keith", 257,"3,109"
57,177.5,1990,"Byner, Earnest", 215,"8,261"
58,180.0,1999,"Bynum, Kenny", 191,433
59,182.88,1987,"Byrum, Carl", 232,527
60,177.5,1932,"Cagle, Chris", 174,0.0
61,185.928,1982,"Cain, Lynn", 205,"2,309"
62,177.5,1923,"Calac, Pete", 190,0
63,182.88,1928,"Caldwell, Bruce", 190,0
64,177.5,1987,"Caldwell, Scott", 196,53
65,185.928,1962,"Caleb, Jamie", 210,71
66,177.5,2007,"Calhoun, Brian", 208,54
67,182.88,1978,"Calhoun, Don", 206,"3,559"
68,170.0,1987,"Calhoun, Rick", 190,36
69,185.928,1958,"Call, Jack", 200,308
70,182.88,1980,"Callicutt, Ken", 190,6
71,182.88,1954,"Calvin, Tom", 200,136
72,188.976,1973,"Cambal, Dennis", 225,0
73,180.0,1952,"Campana, Al", 180,146
74,188.976,2013,"Campbell, Devonte", 255,0
0,180.0,1982,"Campbell, Earl", 232,"9,407"
1,180.0,2014,"Campbell, Jordan", 240,0
2,182.88,1952,"Campbell, Leon", 199,379
3,180.0,1968,"Campbell, Mike", 200,24
4,192.024,1957,"Campbell, Milt", 217,23
5,182.88,1969,"Campbell, Bob", 195,32
6,185.928,2014,"Campbell, Stephen", 245,0
7,180.0,1970,"Campbell, Sonny", 192,195
8,177.5,1969,"Campbell, Woody", 204,"1,493"
9,180.0,1980,"Campfield, Billy", 200,670
10,188.976,1980,"Canada, Larry", 233,621
11,180.0,1947,"Canadeo, Tony", 190,"4,197"
12,177.5,1948,"Canady, Jim", 178,0.0
13,180.0,2002,"Canidate, Trung", 205,"1,095"
14,175.0,1991,"Canley, Sheldon", 195,9
15,177.5,1950,"Cannava, Al", 180,2
16,185.928,1965,"Cannon, Billy", 207,"2,455"
17,182.88,1944,"Cantor, Leo", 195,0.0
18,185.928,1967,"Cappadona, Bob", 225,460
19,185.928,1978,"Cappelletti, John", 215,"2,951"
20,180.0,1977,"Capriola, Glenn", 219,0
21,175.0,1923,"Cardwell, John", 170,0
22,188.976,1940,"Cardwell, Lloyd", 195,905
23,182.88,1956,"Carl, Harland", 195,66
24,188.976,1964,"Carlton, Wray", 225,"3,368"
25,185.928,1957,"Carmichael, Al", 200,947
26,182.88,1965,"Carmichael, Paul", 200,0
27,188.976,1939,"Carnelly, Ray", 187,64
28,182.88,1960,"Caroline, J.C.", 185,0.0
29,182.88,1955,"Carpenter, Ken", 195,"1,199"
30,185.928,1958,"Carpenter, Lew", 220,"2,025"
31,185.928,1981,"Carpenter, Rob", 224,"4,363"
32,188.976,1962,"Carpenter, Preston", 190,"4,457"
33,182.88,1978,"Carr, Earl", 224,1
